period,start,end,pred_hash,hold_thresh,annualized_return_with_cost,annualized_return_without_cost,annualized_cost_drag,information_ratio_with_cost,maximum_drawdown_with_cost,mean_daily_turnover,average_number_of_positions,n_backtest_days
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,20,-0.7381302013892356,-0.7365931205268091,0.001537080862426432,-1.6169996434709515,-0.2832893468431098,0.06458322951371913,21.080645161290324,62
2020Q1_COVID,2020-01-01,2020-03-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,30,-1.5149041579195233,-1.513824114104669,0.0010800438148541591,-2.9058302863366707,-0.4610410049279606,0.0453799922207613,21.29032258064516,62
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,1,0.14186886132435259,0.142218305540281,0.00034944421592841834,0.4583703664573734,-0.3724151834581362,0.014682530081025682,21.864559819413092,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,2,0.13954362087064576,0.1398862952620295,0.000342674391383746,0.42155894857989024,-0.4462878388695558,0.014398083671586672,21.882618510158014,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,3,0.18027713211922336,0.18056363822677932,0.00028650610755595607,0.5318682650622284,-0.41670311579215735,0.012038071746047424,21.88939051918736,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,4,0.008606477259268837,0.008847091981851707,0.00024061472258287038,0.026861363706846213,-0.5719251229254325,0.010109862293398816,21.905191873589164,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,5,0.10830248683691351,0.10855252766404153,0.0002500408271280119,0.3181033973945157,-0.5556791904025349,0.010505917106218907,21.900677200902933,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,6,0.09325280350152534,0.09351035012137747,0.00025754661985212535,0.2562047191572538,-0.556046630079841,0.01082128654840952,21.91196388261851,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,8,0.21654043808009288,0.21676160828067562,0.00022117020058273762,0.5487229833443494,-0.5155664556615543,0.00929286557069911,21.9255079006772,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,10,0.10426503485797048,0.10448090061134653,0.00021586575337605163,0.2984747970177386,-0.5576751842469323,0.009069989637647023,21.923250564334086,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,15,0.12852506279099554,0.1286854554766709,0.00016039268567535903,0.3408253890798262,-0.5648570317047729,0.006739188473755254,21.945823927765236,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,20,0.1641125980961731,0.16426231748599338,0.00014971938982027977,0.4651196520528693,-0.42102093400428275,0.006290730664718509,21.952595936794584,443
2020Q2_2021_recovery,2020-04-01,2021-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,30,0.053525571638791486,0.053652411412243806,0.00012683977345231967,0.14464638649175116,-0.5974135109192034,0.005329402245896247,21.96162528216704,443
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,1,-0.11448258291601833,-0.11159636438384085,0.0028862185321774786,-0.4212243482817983,-0.6875634547639758,0.12126968622594439,20.79441117764471,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,2,-0.08133756752455276,-0.07871505207700898,0.0026225154475437856,-0.2993726203000784,-0.5882796140173306,0.1101897246867148,20.902195608782435,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,3,-0.1333821191175212,-0.1310552691898113,0.002326849927709901,-0.48184316578448255,-0.6171807443334791,0.09776680368528931,21.017964071856287,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,4,-0.041341009649886906,-0.03971495821534308,0.0016260514345438279,-0.14123968620136806,-0.6281619073814215,0.06832148884637922,21.261477045908183,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,5,-0.144323117201234,-0.14334587447914976,0.0009772427220842428,-0.498286148037395,-0.729948405947227,0.04106061857496771,21.5748502994012,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,6,-0.06601219395363242,-0.06548263559068158,0.0005295583629508355,-0.22133558591305147,-0.52753169042309,0.02225035138448968,21.788423153692616,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,8,-0.03121512636032001,-0.03081520224245522,0.00039992411786479026,-0.11754230280688699,-0.5777596982986082,0.016803534364067427,21.82435129740519,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,10,-0.05408141217849723,-0.053694560841114,0.000386851337383233,-0.2043527359412946,-0.553605882998146,0.016254257873246414,21.840319361277444,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,15,0.02180428225300542,0.022104513206564882,0.0003002309535594626,0.07663977802798078,-0.5128412326698327,0.012614745947877551,21.87624750499002,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,20,-0.07002572900367222,-0.06962378319727251,0.00040194580639971167,-0.26680399321295983,-0.6276407949863986,0.016888479260491498,21.830339321357286,501
2022_2023_post_covid,2022-01-01,2023-12-31,27f0658bc15ed87392ba87b963b2f639c1c1688d3dcb840f72373bd39b78941d,30,-0.21078025535166162,-0.21033166325616917,0.00044859209549244494,-0.7814009682843152,-0.7940848812048652,0.018848407373633008,21.79441117764471,501
