datetime,instrument,score,label,rank
2020-03-12,P46703,0.03791131961975473,-0.1568799,47
2020-03-12,P80080,0.03791131961975473,-0.13603973,48
2020-03-12,P90829,0.03791131961975473,-0.13294804,49
2020-03-12,P59459,0.03791131961975473,-0.20800376,50
2020-03-13,P79145,-5.983818453848415e-10,-0.076152265,21
2020-03-13,P81655,-5.983818453848415e-10,-0.14793736,49
2020-03-16,P16431,0.03791131961975473,-0.15283263,21
2020-03-16,P88446,0.03791131961975473,-0.07335228,22
2020-03-16,P15202,0.03791131961975473,-0.17614806,27
2020-03-16,P89002,0.03791131961975473,-0.2675737,28
2020-03-16,P52708,0.03791131961975473,-0.11581355,30
2020-03-16,P54148,0.03791131961975473,-0.15721089,34
2020-03-16,P85926,0.03791131961975473,-0.122061014,35
2020-03-16,P30940,0.03791131961975473,-0.096128166,36
2020-03-16,P81481,0.03791131961975473,-0.14231527,37
2020-03-16,P81774,0.03791131961975473,-0.18055558,38
2020-03-16,P28388,0.03791131961975473,-0.12001133,40
2020-03-16,P27983,0.03791131961975473,-0.18800813,41
2020-03-16,P35044,0.03791131961975473,-0.17117113,42
2020-03-16,P82775,0.03791131961975473,-0.2119484,43
2020-03-16,P80100,0.03791131961975473,-0.23683321,45
2020-03-16,P25232,0.03791131961975473,-0.28478366,46
2020-03-16,P24942,0.03791131961975473,-0.12671578,48
2020-03-16,P24643,0.03791131961975473,-0.111614764,50
2020-03-17,P71175,-5.983818453848415e-10,-0.08305091,46
2020-03-18,P77606,0.03791131961975473,-0.077415586,23
2020-03-18,P77496,0.03791131961975473,-0.116300106,25
2020-03-18,P81655,0.03791131961975473,-0.080622315,40
2020-03-18,P24643,0.03791131961975473,-0.16403782,41
2020-03-18,P76614,0.012461077988801422,-0.104893506,44
2020-03-18,P57568,0.012461077988801422,-0.08684075,47
2020-03-19,P14541,0.03791131961975473,-0.08705163,21
2020-03-19,P25785,0.03791131961975473,-0.073902965,23
2020-03-19,P16087,0.03791131961975473,-0.07832378,25
2020-03-19,P10145,0.03791131961975473,-0.07679999,26
2020-03-19,P54148,0.03791131961975473,-0.1026808,32
2020-03-19,P17144,0.012461077988801422,-0.11410898,41
2020-03-19,P36003,0.012461077988801422,-0.09800005,44
2020-03-19,P90373,0.012461077988801422,-0.109736025,47
2020-03-25,P89533,0.03791131961975473,-0.11466926,22
2020-03-25,P58683,0.03791131961975473,-0.11763281,23
2020-03-25,P78987,0.03791131961975473,-0.08480942,24
2020-03-25,P19561,0.03791131961975473,-0.1027416,25
2020-03-25,P75825,0.03791131961975473,-0.08929926,29
2020-03-25,P11891,0.03791131961975473,-0.09368032,30
2020-03-25,P14579,0.0038423665530181506,-0.08843416,36
2020-03-25,P14939,0.003220725951907872,-0.07041919,40
2020-03-26,P79145,0.03791131961975473,-0.13710141,21
2020-03-26,P21020,0.03791131961975473,-0.12749285,33
2020-03-30,P14579,0.0038489751651350616,-0.0721252,29
2020-03-30,P60599,0.0038423665530181506,-0.07082456,30
2020-03-30,P87657,0.003220725951907872,-0.08477366,33
2020-03-30,P21776,0.003220725951907872,-0.09046459,34
2020-03-30,P22293,0.003220725951907872,-0.06962025,37
2020-03-30,P89017,0.003220725951907872,-0.08042389,39
2020-03-30,P79545,0.003220725951907872,-0.07016826,44
2020-03-30,P59408,0.003220725951907872,-0.06877053,47
2020-03-30,P69032,0.003220725951907872,-0.06999999,50
2020-04-01,P92121,0.03791131961975473,-0.07938039,44
2020-04-13,P12345,0.006877983003645413,-0.10129613,24
2020-04-16,P34833,0.03791131961975473,-0.07630223,22
2020-04-20,P76841,0.006877983003645413,-0.09422207,37
2020-04-28,P25419,0.006877983003645413,-0.08783674,35
2020-05-04,P60943,0.010071237680962878,-0.08503622,32
2020-05-11,P28388,0.0038489751651350616,-0.09090912,34
2020-05-26,P12060,0.004777258687404773,-0.069958806,36
2020-06-09,P22779,0.010071237680962878,-0.081967235,21
2020-06-09,P15980,0.010071237680962878,-0.09554136,22
2020-06-09,P19502,0.010071237680962878,-0.07971996,23
2020-06-09,P88661,0.010071237680962878,-0.08785528,25
2020-06-09,P79782,0.010071237680962878,-0.0714286,26
2020-06-09,P67598,0.010071237680962878,-0.06818181,29
2020-06-09,P77606,0.010071237680962878,-0.11231732,30
2020-06-09,P76712,0.010071237680962878,-0.07365227,31
2020-06-09,P12060,0.010071237680962878,-0.08672798,32
2020-06-09,P59248,0.010071237680962878,-0.07468361,33
2020-06-09,P58683,0.010071237680962878,-0.11604738,34
2020-06-09,P58413,0.010071237680962878,-0.07385886,36
2020-06-09,P10145,0.010071237680962878,-0.06929666,37
2020-06-09,P87541,0.006877983003645413,-0.06826812,38
2020-06-09,P83862,0.006877983003645413,-0.08351606,40
2020-06-09,P89641,0.006877983003645413,-0.07355869,42
2020-06-09,P18428,0.006877983003645413,-0.09912801,43
2020-06-09,P89179,0.006877983003645413,-0.08317733,44
2020-06-09,P25419,0.006877983003645413,-0.09024733,46
2020-06-09,P27828,0.006877983003645413,-0.07282418,47
2020-06-22,P91926,0.004621627368697333,-0.07759786,21
2020-06-22,P13760,0.004621627368697333,-0.12368274,26
2020-06-22,P85269,0.0038489751651350616,-0.07390261,30
2020-06-22,P15069,0.0038489751651350616,-0.085308015,34
2020-07-07,P91103,0.004621627368697333,-0.07254839,30
2020-07-07,P80100,0.004621627368697333,-0.07137424,36
2020-07-24,P16431,0.0038489751651350616,-0.11460984,33
2020-09-01,P11403,0.004165072898550196,-0.077120185,36
2020-09-03,P15069,0.010071237680962878,-0.087221086,21
2020-09-17,P80100,0.004621627368697333,-0.07102972,21
2020-09-28,P66384,0.004238538539458224,-0.070447564,41
2020-10-09,P75154,0.004621627368697333,-0.07758057,32
2020-10-14,P14277,0.004165072898550196,-0.088306904,31
2020-10-26,P75154,0.004621627368697333,-0.10610467,32
2020-10-26,P23819,0.0038489751651350616,-0.08713037,42
2020-10-26,P15069,0.0038489751651350616,-0.06779659,48
2020-10-26,P79547,0.0038489751651350616,-0.06943053,49
2020-11-09,P80100,0.012461077988801422,-0.0688737,33
2020-11-10,P75154,0.012461077988801422,-0.07896358,21
2020-12-18,P89508,0.0038489751651350616,-0.08092773,35
2021-02-23,P85914,0.0038489751651350616,-0.09271991,31
2021-03-25,P80563,0.014722054656765243,-0.07853258,21
2021-04-27,P86356,0.0037855561505952527,-0.10028881,44
2021-05-06,P48486,0.004165072898550196,-0.069924176,23
2021-05-18,P85072,0.0038489751651350616,-0.070049584,40
2021-06-09,P76744,0.004165072898550196,-0.10956317,22
2021-07-06,P64311,0.0038489751651350616,-0.071593225,34
2021-07-15,P77129,0.0038489751651350616,-0.073390126,33
2021-08-17,P88446,0.006877983003645413,-0.07882726,30
2021-11-02,P90071,0.0038489751651350616,-0.111,32
2021-11-09,P26403,0.004238538539458224,-0.07073659,29
2021-11-23,P28484,0.004165072898550196,-0.06870794,34
2022-01-13,P14702,0.0038489751651350616,-0.08766472,28
2022-02-15,P76185,0.004165072898550196,-0.087537766,37
2022-02-24,P20057,0.0038489751651350616,-0.24277854,31
2022-02-25,P75186,0.014722054656765243,-0.07814354,21
2022-02-25,P14889,0.014722054656765243,-0.073635995,22
2022-02-25,P84129,0.012461077988801422,-0.083932936,32
2022-02-25,P92121,0.004165072898550196,-0.07736552,49
2022-03-02,P90090,0.004165072898550196,-0.07095176,44
2022-03-03,P58683,0.004165072898550196,-0.08579147,30
2022-03-03,P64282,0.0038489751651350616,-0.08671212,37
2022-03-03,P80320,0.0038489751651350616,-0.07406467,41
2022-03-03,P91103,0.0038489751651350616,-0.1500954,44
2022-03-10,P77178,0.004165072898550196,-0.0725351,35
2022-04-18,P15850,0.0038489751651350616,-0.09892452,24
2022-04-20,P34817,0.0038489751651350616,-0.08280653,35
2022-04-21,P88281,0.0038489751651350616,-0.07211661,43
2022-04-22,P22976,0.010071237680962878,-0.07767445,33
2022-04-22,P19583,0.010071237680962878,-0.08465606,41
2022-05-05,P86580,0.010071237680962878,-0.0923695,24
2022-05-05,P15069,0.004777258687404773,-0.14031976,35
2022-05-05,P11891,0.004621627368697333,-0.08274597,42
2022-05-05,P75825,0.0038489751651350616,-0.10800177,46
2022-05-09,P93436,0.010071237680962878,-0.08254588,21
2022-05-16,P93246,0.0038489751651350616,-0.07126731,41
2022-05-16,P55976,0.0038423665530181506,-0.067910194,46
2022-06-09,P81774,0.010071237680962878,-0.07560301,21
2022-06-09,P15488,0.010071237680962878,-0.07036567,22
2022-06-09,P11786,0.010071237680962878,-0.0919888,36
2022-06-09,P90090,0.010071237680962878,-0.13674241,42
2022-06-09,P14579,0.006877983003645413,-0.08794457,46
2022-06-14,P75154,0.004165072898550196,-0.11077237,33
2022-06-14,P15069,0.004165072898550196,-0.085856795,34
2022-06-21,P90386,0.0038423665530181506,-0.09574252,47
2022-06-27,P39490,0.0038423665530181506,-0.06886768,48
2022-06-30,P28484,0.010071237680962878,-0.06831771,38
2022-07-25,P88837,0.0038489751651350616,-0.08721954,37
2022-08-01,P90038,0.004621627368697333,-0.10182434,21
2022-09-09,P88182,0.004621627368697333,-0.06995821,25
2022-09-09,P76709,0.0038489751651350616,-0.06946546,42
2022-09-09,P85035,0.0038423665530181506,-0.076972485,45
2022-09-09,P52708,0.0038423665530181506,-0.079146504,50
2022-09-12,P34817,0.0038489751651350616,-0.113078654,34
2022-09-20,P14882,0.0038489751651350616,-0.09436691,38
2022-10-05,P88182,0.004621627368697333,-0.07715309,23
2022-10-12,P16678,0.006877983003645413,-0.073223114,36
2022-10-12,P24766,0.004621627368697333,-0.07428604,45
2022-10-12,P90386,0.004621627368697333,-0.09884614,49
2022-10-18,P48725,0.0038489751651350616,-0.06802958,36
2022-10-21,P63467,0.0038489751651350616,-0.12650603,43
2022-10-27,P88182,0.004621627368697333,-0.089656115,23
2022-11-01,P13210,0.004777258687404773,-0.079254866,22
2022-11-01,P93132,0.0038489751651350616,-0.13714069,35
2022-11-01,P89003,0.0038489751651350616,-0.28048325,41
2022-11-04,P84761,0.004621627368697333,-0.13680816,32
2022-11-09,P12623,0.004621627368697333,-0.06794447,33
2022-11-14,P49154,0.004621627368697333,-0.13135546,25
2022-12-01,P90215,0.004238538539458224,-0.073533475,21
2022-12-01,P11786,0.004238538539458224,-0.06971365,23
2022-12-01,P43553,0.0038423665530181506,-0.11167967,40
2022-12-29,P93436,0.0038423665530181506,-0.12242246,34
2023-01-04,P82651,0.0038489751651350616,-0.07152122,36
